metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
temporal.server.get_engine_for_shard.errors.count,count,,,,,0,temporal,get engine for shard errors count,
temporal.server.get_engine_for_shard.latency.bucket,count,,,,,0,temporal,get engine for shard latency bucket,
temporal.server.get_engine_for_shard.latency.count,count,,,,,0,temporal,get engine for shard latency count,
temporal.server.get_engine_for_shard.latency.sum,count,,millisecond,,,0,temporal,get engine for shard latency sum,
temporal.server.remove_engine_for_shard.latency.bucket,count,,,,,0,temporal,remove engine for shard latency bucket,
temporal.server.remove_engine_for_shard.latency.count,count,,,,,0,temporal,remove engine for shard latency count,
temporal.server.remove_engine_for_shard.latency.sum,count,,millisecond,,,0,temporal,remove engine for shard latency sum,
temporal.server.complete_workflow_task_sticky.enabled.count,count,,,,,0,temporal,complete workflow task sticky enabled count,
temporal.server.complete_workflow_task_sticky.disabled.count,count,,,,,0,temporal,complete workflow task sticky disabled count,
temporal.server.workflow.task.heartbeat_timeout.count,count,,,,,0,temporal,workflow task heartbeat timeout count,
temporal.server.duplicate_replication_events.count,count,,,,,0,temporal,duplicate replication events count,
temporal.server.acquire_lock_failed.count,count,,,,,0,temporal,acquire lock failed count,
temporal.server.workflow.context_cleared.count,count,,,,,0,temporal,workflow context cleared count,
temporal.server.execution_info.size.bucket,count,,,,,0,temporal,execution info size bucket,
temporal.server.execution_info.size.count,count,,,,,0,temporal,execution info size count,
temporal.server.execution_info.size.sum,count,,byte,,,0,temporal,execution info size sum,
temporal.server.execution_state.size.bucket,count,,,,,0,temporal,execution state size bucket,
temporal.server.execution_state.size.count,count,,,,,0,temporal,execution state size count,
temporal.server.execution_state.size.sum,count,,byte,,,0,temporal,execution state size sum,
temporal.server.activity_info.size.bucket,count,,,,,0,temporal,activity info size bucket,
temporal.server.activity_info.size.count,count,,,,,0,temporal,activity info size count,
temporal.server.activity_info.size.sum,count,,byte,,,0,temporal,activity info size sum,
temporal.server.timer_info.size.bucket,count,,,,,0,temporal,timer info size bucket,
temporal.server.timer_info.size.count,count,,,,,0,temporal,timer info size count,
temporal.server.timer_info.size.sum,count,,byte,,,0,temporal,timer info size sum,
temporal.server.child_info.size.bucket,count,,,,,0,temporal,child info size bucket,
temporal.server.child_info.size.count,count,,,,,0,temporal,child info size count,
temporal.server.child_info.size.sum,count,,byte,,,0,temporal,child info size sum,
temporal.server.request_cancel_info.size.bucket,count,,,,,0,temporal,request cancel info size bucket,
temporal.server.request_cancel_info.size.count,count,,,,,0,temporal,request cancel info size count,
temporal.server.request_cancel_info.size.sum,count,,byte,,,0,temporal,request cancel info size sum,
temporal.server.signal_info.size.bucket,count,,,,,0,temporal,signal info size bucket,
temporal.server.signal_info.size.count,count,,,,,0,temporal,signal info size count,
temporal.server.signal_info.size.sum,count,,byte,,,0,temporal,signal info size sum,
temporal.server.buffered_events.size.bucket,count,,,,,0,temporal,buffered events size bucket,
temporal.server.buffered_events.size.count,count,,,,,0,temporal,buffered events size count,
temporal.server.buffered_events.size.sum,count,,byte,,,0,temporal,buffered events size sum,
temporal.server.activity_info.bucket,count,,,,,0,temporal,activity info bucket,
temporal.server.activity_info.count,count,,,,,0,temporal,activity info count,
temporal.server.activity_info.sum,count,,,,,0,temporal,activity info sum,
temporal.server.timer_info.bucket,count,,,,,0,temporal,timer info bucket,
temporal.server.timer_info.count,count,,,,,0,temporal,timer info count,
temporal.server.timer_info.sum,count,,,,,0,temporal,timer info sum,
temporal.server.child_info.bucket,count,,,,,0,temporal,child info bucket,
